parser,doc_id,id,gold,pred,score,ok,match_type,verdict,overconfident,judge_reason,missing_points,superfluous_points
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,32,The machine is working properly,The machine is working properly.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,33,Yes,"Yes; when the machine is re-started after a break, the speed mode will return to the previous speed.",1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,34,Align the ribs with the mounting slots and slide until it snaps into place,Align the battery ribs with the mounting slots in the machine's battery port and slide the battery pack until it snaps into position.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,35,Press the battery‑release button and remove the pack; never remove it at a high location,Depress the battery-release button and the battery pack will disengage from the latch; grasp the battery pack and remove it from the machine; never remove the battery pack at a high location.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,36,AP1500,AP1500,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,37,Battery at 20%–100% charge,Battery charge level of 20% to 100%,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,38,Battery at 10%–20% charge,Battery charge level of 10% to 20%,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,39,Battery below 10% charge,Battery charge level of less than 10%,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,40,Charge is nearly depleted—charge immediately,The battery pack charge is nearly depleted and needs to be charged immediately.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,41,Solid orange LED; cool the pack below 152°F (67°C),NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,42,Battery electronics error—replace the pack or contact service,The battery pack electronics error; replace the battery pack or contact EGO customer service center.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,43,158°F (70°C),158°F (70°C),1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,44,Machine overheated; cool it below 176°F (80°C),"The machine is overheated; release the trigger and wait until the machine cools down and the speed indicator turns green, then restart the machine.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,45,"Machine overloaded; remove and reattach the battery, restart, and reduce load/line length","A flashing orange speed indicator means the machine is overloaded; remove the battery pack, reattach it, restart the machine, and decrease the load.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,46,194°F (90°C),194°F (90°C),1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,47,When the speed mode button is pressed,The battery-status indicator and the speed indicator will illuminate when the machine is started or the speed mode button is pressed.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,48,The Bluetooth symbol lights up,NOT_FOUND,0.0,0,llm-rubric,incorrect,0,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,49,Three lights,Three lights,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,50,Lightly tap the head on the ground while running,Lightly tap the trimmer head on the ground while operating the trimmer to release more cutting line.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,51,On bare ground or hard soil,Tap the trimmer head on bare ground or hard soil for best line release.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,52,No—excess line can overheat the motor and cause injury,Do not remove or alter the line-cutting blade; excessive line length will cause the motor to overheat and may result in serious personal injury.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,53,26 ft (8 m),Cut one piece 26 ft. (8 m) long.,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,54,About 6 in (15.3 cm),approximately 6 in. (15.3 cm) of line should be showing on each side,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,55,It must be in its original position in the lower cover assembly,The spring must be in its original position in the lower cover assembly.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,56,A distinct click,a distinct click sound,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,57,Work from the top down in small increments,Cut grass over 8 inches (20 cm) by working from top to bottom in small increments to avoid premature line wear or motor drag.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,58,Yes,Yes; wire and picket fences can cause extra cutting line wear or breakage.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,59,No,No; avoid trimming when grass and weeds are wet.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,60,Keep it fully extended; release is harder as the line shortens,Always keep the trimming line fully extended; line release becomes more difficult as the cutting line becomes shorter.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,61,"Remove battery, open head via release tabs, check spring, reassemble, reload line",Replace the line when necessary; see section 'LINE REPLACEMENT' for instructions.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,62,0.105 in (2.7 mm),0.105 in (2.7 mm),1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,63,The line‑cutting blade on the guard,Line-cutting blade,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,64,The motor may overheat,"If line release is attempted in tall grass, the motor may overheat.",1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,65,"Slow forward‑back or side‑to‑side passes, cutting short lengths","Slowly move the trimmer into and out of the area being cut, maintaining the cutting head position at the desired cutting height; this movement can be either a forward-backward motion or a side-to-side motion.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,66,Yes—using EGO kit ABB1203‑1,"Yes; use EGO kit ABB1203-1 to replace the trimmer head with a metal blade, replace the trimmer guard with the brush cutter guard, and install the Safety Barrier Bar.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,67,"Install the metal blade, swap to the brush‑cutter guard, and install the safety barrier bar",Replace string trimmer head with metal blade; replace string trimmer guard with brush cutter guard; install Safety Barrier Bar.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,68,Insert the provided hex key into the gear‑case locking hole,Rotate the trimmer head to align the slot in the flange with the shaft locking hole in the gear case and insert the provided hex key into the aligned holes to act as a stabilizer.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,69,Clockwise,CLOCKWISE,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,70,Keep it in a safe place for future use,Keep the sheath in a safe place for future use.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,71,The surface of the blade,the surface of the blade,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,72,Counterclockwise,COUNTERCLOCKWISE,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,73,16 mm,16mm socket wrench,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,74,The two bolts and washers from the string‑trimmer guard,the two bolts and washers from the string trimmer,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,75,3/4 in (2 cm),3/4 in (2 cm),1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,76,Cut from right to left in a broad sweep,Sweep the brush cutter right and left at ground level,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,77,The left side of the blade,Use the left side of the blade,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,78,No,Do not use the cutting attachment above waist height.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,79,EGO,EGOTM blade,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,80,Approach weeds from right to left,Approach the weeds being cut with the brush cutter from the right to the left.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,81,No—never use water,Never use water to clean your trimmer.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,82,Use a small brush or a vacuum cleaner,Use a small brush or a vacuum cleaner to clean the air vents on the rear housing; keep the air vents free of obstructions.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,83,About every 50 hours of operation,Check the gear case grease level approximately every 50 hours of operation.,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,84,Up to 3/4 capacity (do not fill completely),Fill with gear grease to 3/4 capacity; do not completely fill the transmission gear case.,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,85,NLGI‑1; Ester thickener,NLGI-1; Ester,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,86,−40°F to 356°F (−40°C to 180°C),-40°F to 356°F (-40°C to 180°C),1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,87,Heavy gloves and eye protection,Wear heavy gloves and proper eye protection.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,88,A fine‑tooth file or a sharpening stone,fine-tooth file or sharpening stone,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,89,Counterclockwise,Tighten the trimmer head onto the shaft COUNTERCLOCKWISE.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,90,The inner flange and flange cover,the inner flange and flange cover,1.0,1,exact,correct,0,rule:exact,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,91,That the battery is attached and making contact,Check that the battery pack is connected to the machine.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,92,Remove it and cool it below 152°F (67°C),Remove the battery pack and cool the battery pack until the temperature drops below 152 °F (67 °C),1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,93,Remove the battery and cool the tool below 176°F (80°C),Remove the battery pack and cool the string trimmer until the temperature drops below 176°F (80°C),1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,94,"Remove and reattach the battery, restart, and reduce the load/line length/woody cutting","The motor will recover when the load is removed; for continuous work, decrease the load on the string trimmer, avoid too long or oversize cutting line or cutting on heavy/woody shrubs.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,95,Lubricate the drive gears per the lubrication section,"Check the gear case grease level and fill with gear grease to 3/4 capacity if needed; use grease meeting NLGI-1, ester thickener, -40°F to 356°F range.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,96,Replace it with a new lower cover,Replace with a new lower cover before further use.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,97,"Stop, remove the battery, and clean the shaft/head thoroughly","Stop the string trimmer, remove the battery and then clean the drive shaft or the trimmer head thoroughly.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,98,Remove the battery and reload the line per the Line Replacement steps,"Remove the battery, reload the cutting line, follow the section 'LINE REPLACEMENT' in this manual.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,99,"Cut from the top down, removing no more than 8 in (20 cm) per pass","Cut tall grass from the top down, removing no more than 8 inches (20 cm) in each pass to prevent wrapping.",1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,100,Sharpen the blade with a file or replace it,Periodically sharpen the line-cutting blade with a file or replace it with a new blade.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,1,Feier Smart Slideboard.,Feier Smart Slideboard,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,2,Feier.,Feier,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,3,FED-HXB-05.,FED-HXB-05,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,4,Starry Gray and Misty White.,Starry Gray; Misty White,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,5,"55×20 inches, 71×20 inches, and 87×20 inches.",55*20 inches; 71*20 inches; 87*20 inches,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,6,18650 lithium cell.,18650,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,7,2000 mAh.,2000mAh,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,8,5V.,5V,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,9,1A.,1A,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,10,Around 3 hours.,The battery can be fully charged in approximately 3 hours,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,11,About 3 hours of operating time.,about 3 hours,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,12,No. The manual advises not to use the device while charging.,"No, please avoid using the device while it's charging.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,13,"Place it on a flat surface, then press and hold the power button to turn it on; it automatically enters standby.","Place the product on a flat surface, press and hold the power button to turn it on; it will automatically enter count exercise mode.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,14,Press and hold the power button for 4 seconds.,Press and hold the power button for 4 seconds to turn it off.,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,15,"Yes. If there is no operation for 10 minutes, it will automatically shut down.","Yes; if there is no operation for 10 minutes in the power-on state, it will automatically shut down.",1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,16,"Short‑press the power button to cycle through ""times,"" ""time,"" and ""calories.""","Short press the power button to adjust the display switching of 'times,' 'time,' and 'calories.'",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,17,Double‑click the power button in the power‑on state.,Double-click the power button while the device is powered on to switch the display light.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,18,It automatically enters standby mode.,"After power-on, the product enters standby; the light bar lights up every 5 seconds; if no exercise for 2 minutes, it enters sleep mode and all displays turn off until the next exercise.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,19,The light bar at the display end lights up every 5 seconds.,the light bar on the display end will light up every 5 seconds,1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,20,After 2 minutes without exercise.,"If there is no exercise for 2 minutes, the device will enter sleep mode.",1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,21,"All displays turn off until the next exercise, when it returns to standby.",All displays of the product will be turned off until the next exercise.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,22,"In the power‑on state, press and hold the power button for 2 seconds to clear all display data.","In the power-on state, press and hold the power button for 2 seconds to clear all display data.",1.0,1,numeric≈,correct,0,rule:numeric≈,,
textin,FEIER,23,A Bluetooth symbol appears and blinks on the display after powering on.,the Bluetooth symbol will appear and blink on the display screen,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,24,The Feier app.,Feier,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,25,"Scan the QR code in the manual or search ""Feier"" in your app store.",Scan the QR code provided in the manual or search for 'Feier' app in the app store to download.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,26,Yes. The manual shows iOS and Android download options.,Yes; available in app store; QR code download method provided,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,27,Tap the Bluetooth icon in the upper‑right corner of the app interface.,Click on the Bluetooth icon in the upper right corner of the interface in the 'Feier' app.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,28,"""Feier-HXB.""",Feier-HXB,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,29,"Tap ""Connect"" after the device information appears.",Click 'Connect' after displaying the device information to complete the connection.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,30,Ensure all parts of the device are firmly connected.,Carefully check whether all parts of the device are firmly connected before use.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,31,Children and elderly users must use it under a guardian’s supervision.,All children and elderly people must use it under the supervision of a guardian.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,32,Beginners are advised to wear protective gear to prevent injuries.,Beginners are advised to wear protective gear during exercise to prevent injuries.,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,33,5–10 minutes of stretching warm‑up.,5-10 minutes,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,34,Remove valuables and fragile items such as mobile phones and jewelry.,Remove valuable and fragile items such as mobile phones and jewelry before training.,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,35,Exercise under a doctor’s guidance and stop immediately if any discomfort occurs.,exercise under the guidance of a doctor; stop immediately if there is any discomfort during use,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,36,Static electricity from the board’s smooth PE and nylon surfaces can attract fine debris; this is normal.,"The generation of static electricity and the attraction of fine hair and small debris is a normal phenomenon resulting from the smooth friction between the product's surface, made of PE and nylon.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,37,Yes. It is made of plastic and should be kept away from heat sources and open flames.,Yes; keep it away from heat sources and open flames to prevent deformation or fire,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
textin,FEIER,38,Use professional shoe covers with the slideboard.,Professional shoe covers,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
textin,FEIER,39,"Use a soft, damp cloth to clean it.","Clean the slide board with a soft, damp cloth.",0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
